,accession,name,class,seq_len,is_mongrel,have_contig,complete,shotgun,chromosome
41,NC_010532,"Trigoniophthalmus alternatus mitochondrion, complete genome",Insecta,16197,False,False,True,False,False
42,NC_030002,"Panchlora nivea mitochondrion, complete genome",Insecta,16034,False,False,True,False,False
43,NC_041100,"Muntiacus feae isolate M02 mitochondrion, complete genome",Mammalia,16355,False,False,True,False,False
44,NC_031824,"Ischnura elegans mitochondrion, complete genome",Insecta,15962,False,False,True,False,False
45,NC_037816,"Anopheles guarani clone PR29_08_8 mitochondrion, complete genome",Insecta,15531,False,False,True,False,False
46,NC_062181,"Cucullia pustulata mitochondrion, complete genome",Insecta,15378,False,False,True,False,False
47,NC_036007,"Culex usquatissimus isolate RO25_19 mitochondrion, complete genome",Insecta,15574,False,False,True,False,False
48,NC_036156,"Hydromanicus wulaianus mitochondrion, complete genome",Insecta,15289,False,False,True,False,False
49,NC_027449,"Macaca cyclopis isolate Mc-mitogm12060805 mitochondrion, complete genome",Mammalia,16563,False,False,True,False,False
50,NC_056270,"Brevicoryne brassicae mitochondrion, complete genome",Insecta,15927,False,False,True,False,False
51,NC_025758,"Hydrobasileus croceus mitochondrion, complete genome",Insecta,15088,False,False,True,False,False
52,NC_057500,"Mythimna loreyi strain 2019 NICS mitochondrion, complete genome",Insecta,15320,False,False,True,False,False
53,NC_060622,"Allodia zaitzevi voucher NHMO 442471 mitochondrion, complete genome",Insecta,14979,False,False,True,False,False
54,NC_038143,"Trioza remota mitochondrion, complete genome",Insecta,14950,False,False,True,False,False
55,NC_036042,"Epicauta gorhami mitochondrion, complete genome",Insecta,15691,False,False,True,False,False
56,NC_012822,"Helotrephes sp. NKMT027 mitochondrion, complete genome",Insecta,15130,False,False,True,False,False
57,NC_026705,"Cynomys leucurus mitochondrion, complete genome",Mammalia,16454,False,False,True,False,False
58,NC_059700,"Rhodinia fugax mitochondrion, complete genome",Insecta,15334,False,False,True,False,False
59,NC_062615,"Metoecus javanus mitochondrion, complete genome",Insecta,16016,False,False,True,False,False
60,NC_008433,"Pusa hispida mitochondrion, complete genome",Mammalia,16754,False,False,True,False,False
61,NC_021398,"Crocidura shantungensis mitochondrion, complete genome",Mammalia,17160,False,False,True,False,False
62,NC_027488,"Haplothrips aculeatus mitochondrion, complete genome",Insecta,14616,False,False,True,False,False
63,NC_034026,"Nasutitermes banksi mitochondrion, complete genome",Insecta,14949,False,False,True,False,False
64,NC_030718,"Anopheles albitarsis F mitochondrion, complete genome",Insecta,15418,False,False,True,False,False
65,NC_036107,"Sarcophaga misera mitochondrion, complete genome",Insecta,14944,False,False,True,False,False
66,NC_020699,"Connochaetes taurinus isolate SUN70 mitochondrion, complete genome",Mammalia,16410,False,False,True,False,False
67,NC_041168,"Hoplasoma unicolor mitochondrion, complete genome",Insecta,14568,False,False,True,False,False
68,NC_024664,"Allantus luctifer mitochondrion, complete genome",Insecta,15418,False,False,True,False,False
69,NC_046927,"Rousettus leschenaultii isolate CKM109 mitochondrion, complete genome",Mammalia,16655,False,False,True,False,False
70,NC_050258,"Drabescus ineffectus mitochondrion, complete genome",Insecta,15744,False,False,True,False,False
71,NC_062088,"Pareuchaetes insulata mitochondrion, complete genome",Insecta,15299,False,False,True,False,False
72,NC_025282,"Neochauliodes fraternus mitochondrion, complete genome",Insecta,15768,False,False,True,False,False
73,NC_032062,"Asymmetricata circumdata mitochondrion, complete genome",Insecta,15967,False,False,True,False,False
74,NC_026675,"Acerella muscorum mitochondrion, complete genome",Protura,15018,False,False,True,False,False
75,NC_046906,"Epomophorus labiatus voucher MNHN ZM-MO 2000-553 mitochondrion, complete genome",Mammalia,16741,False,False,True,False,False
76,NC_024741,"Heliconius pachinus mitochondrion, complete genome",Insecta,15369,False,False,True,False,False
77,NC_025332,"Ulomoides dermestoides mitochondrion, complete genome",Insecta,15434,False,False,True,False,False
78,NC_027723,"Operophtera brumata mitochondrion, complete genome",Insecta,15748,False,False,True,False,False
79,NC_008754,"Simosyrphus grandicornis mitochondrion, complete genome",Insecta,16141,False,False,True,False,False
80,NC_028319,"Lynx pardinus isolate LYP mitochondrion, complete genome",Mammalia,16806,False,False,True,False,False
81,NC_038108,"Anoeconeossa unicornuta mitochondrion, complete genome",Insecta,15051,False,False,True,False,False
82,NC_006931,"Eubalaena japonica mitochondrion, complete genome",Mammalia,16386,False,False,True,False,False
83,JX312733,"Equus burchellii quagga isolate QUAGGA mitochondrion, complete genome",Mammalia,16606,False,False,True,False,False
84,NC_060738,"Spinactaletes boneti mitochondrion, complete genome",Collembola,14766,False,False,True,False,False
85,NC_042749,"Pantherina griselda voucher KIZ:0509579 mitochondrion, complete genome",Mammalia,16968,False,False,True,False,False
86,NC_024283,"Maruca testulalis mitochondrion, complete genome",Insecta,15110,False,False,True,False,False
87,NC_048456,"Rachelia extrusus mitochondrion, complete genome",Insecta,16114,False,False,True,False,False
88,NC_045102,"Figulus binodulus mitochondrion, complete genome",Insecta,16261,False,False,True,False,False
89,NC_020691,"Cephalophus nigrifrons isolate GLC20 mitochondrion, complete genome",Mammalia,16431,False,False,True,False,False
90,NC_033906,"Sinopodisma wulingshanensis mitochondrion, complete genome",Insecta,15872,False,False,True,False,False
91,NC_037224,"Mycopsylla fici voucher MFICI20161215 mitochondrion, complete genome",Insecta,14815,False,False,True,False,False
92,NC_031397,"Curvipennis wixiensis mitochondrion, complete genome",Insecta,15528,False,False,True,False,False
93,NC_028556,"Cabassous centralis voucher AMNH_MO-10752 mitochondrion, complete genome",Mammalia,17114,False,False,True,False,False
94,NC_011824,"Atractomorpha sinensis mitochondrion, complete genome",Insecta,15558,False,False,True,False,False
95,NC_019573,"Lucilia cuprina mitochondrion, complete genome",Insecta,15952,False,False,True,False,False
96,NC_011594,"Acyrthosiphon pisum mitochondrion, complete genome",Insecta,16971,False,False,True,False,False
97,NC_034039,"Prohamitermes mirabilis mitochondrion, complete genome",Insecta,14950,False,False,True,False,False
98,OV815989,"Mythimna albipuncta genome assembly, organelle: mitochondrion",Insecta,15378,False,False,False,False,False
99,OU343166,"Xanthogramma pedissequum genome assembly, organelle: mitochondrion",Insecta,17472,False,False,False,False,False
100,NC_056326,"Trachypithecus phayrei isolate Dhaka mitochondrion, complete genome",Mammalia,16549,False,False,True,False,False
101,NC_041073,"Oxysarcodexia varia mitochondrion, complete genome",Insecta,15261,False,False,True,False,False
102,NC_036295,"Cyclorhipidion bodoanus voucher BMNH 1047413 mitochondrion, complete genome",Insecta,15899,False,False,True,False,False
103,NC_042437,"Dysdercus evanescens mitochondrion, complete genome",Insecta,15776,False,False,True,False,False
104,NC_057518,"Didelphis marsupialis mitochondrion, complete genome",Mammalia,17157,False,False,True,False,False
105,NC_061966,"Chironomus nipponensis mitochondrion, complete genome",Insecta,16184,False,False,True,False,False
106,NC_061035,"Layahima valida voucher LVGZ mitochondrion, complete genome",Insecta,15885,False,False,True,False,False
107,NC_042768,"Andrena chekiangensis mitochondrion, complete genome",Insecta,15804,False,False,True,False,False
108,NC_046020,"Vespa simillima simillima mitochondrion, complete genome",Insecta,18340,False,False,True,False,False
109,NC_053846,"Ceratitis quilicii mitochondrion, complete genome",Insecta,16035,False,False,True,False,False
110,NC_016872,"Plecotus rafinesquii mitochondrion, complete genome",Mammalia,16438,False,False,True,False,False
111,NC_037941,"Mylodon darwinii voucher NHMUK:PV M8758 mitochondrion, complete genome",Mammalia,16443,False,False,True,False,False
112,NC_063117,"Teredorus hainanensis mitochondrion, complete genome",Insecta,14946,False,False,True,False,False
113,NC_026517,"Japonica lutea mitochondrion, complete genome",Insecta,15225,False,False,True,False,False
114,NC_057085,"Epiphragma mediale mitochondrion, complete genome",Insecta,14858,False,False,True,False,False
115,NC_053672,"Lucilia papuensis voucher CSU19111932 mitochondrion, complete genome",Insecta,15323,False,False,True,False,False
116,NC_039432,"Ovis dalli mitochondrion, complete genome",Mammalia,16464,False,False,True,False,False
117,HG995365,"Lysandra bellargus genome assembly, organelle: mitochondrion",Insecta,15577,False,False,False,False,False
118,NC_057056,"Amphinemura bulla mitochondrion, complete genome",Insecta,15827,False,False,True,False,False
119,NC_036952,"Cheumatopsyche speciosa voucher 20150814106A mitochondrion, complete genome",Insecta,15098,False,False,True,False,False
120,NC_026443,"Hylopetes phayrei mitochondrion, complete genome",Mammalia,16530,False,False,True,False,False
121,NC_047305,"Geocapromys ingrahami voucher UF:322961 mitochondrion, complete genome",Mammalia,16579,False,False,True,False,False
122,NC_009971,"Ursus thibetanus mitochondrion, complete genome",Mammalia,16795,False,False,True,False,False
123,NC_050265,"Lagenorhynchus acutus isolate DM340 mitochondrion, complete genome",Mammalia,16384,False,False,True,False,False
124,NC_049220,"Microtus richardsoni mitochondrion, complete genome",Mammalia,16285,False,False,True,False,False
125,NC_038110,"Homotoma ficus mitochondrion, complete genome",Insecta,14983,False,False,True,False,False
126,NC_016167,"Chironomus tepperi mitochondrion, complete genome",Insecta,15652,False,False,True,False,False
127,NC_041106,"Hydrillodes lentalis mitochondrion, complete genome",Insecta,15570,False,False,True,False,False
128,NC_026077,"Zorotypus medoensis mitochondrion, complete genome",Insecta,14572,False,False,True,False,False
129,NC_052876,"Zyginella minuta mitochondrion, complete genome",Insecta,15544,False,False,True,False,False
130,NC_026898,"Nyssomyia umbratilis mitochondrion, complete genome",Insecta,15757,False,False,True,False,False
131,NC_002660,"Cochliomyia hominivorax mitochondrion, complete genome",Insecta,16022,False,False,True,False,False
132,NC_041412,"Dasyhippus barbipes mitochondrion, complete genome",Insecta,16111,False,False,True,False,False
133,NC_061632,"Croscherichia paykulli voucher MNCN_Ent 296033 mitochondrion, complete genome",Insecta,15658,False,False,True,False,False
134,NC_028548,"Pyrinioides aurea mitochondrion, complete genome",Insecta,15362,False,False,True,False,False
135,NC_034037,"Hypotermes makhamensis mitochondrion, complete genome",Insecta,14950,False,False,True,False,False
136,NC_050309,"Praia tianmunica (nom. nud.) mitochondrion, complete genome",Insecta,15556,False,False,True,False,False
137,HG995428,"Pheosia tremula genome assembly, organelle: mitochondrion",Insecta,16803,False,False,False,False,False
138,CM004183,"Mus musculus strain DBA/2J mitochondrion, complete sequence, whole genome shotgun sequence",Mammalia,16300,False,True,True,True,False
139,NC_050909,"Lethe marginalis mitochondrion, complete genome",Insecta,15229,False,False,True,False,False
140,NC_037826,"Culex chidesteri clone SP67_5 mitochondrion, complete genome",Insecta,16052,False,False,True,False,False
141,NC_025563,"Bos mutus mitochondrion, complete genome",Mammalia,16322,False,False,True,False,False
142,NC_045838,"Monolepta occifluvis mitochondrion, complete genome",Insecta,15998,False,False,True,False,False
143,NC_046031,"Neoplerochila paliatseasi mitochondrion, complete genome",Insecta,15348,False,False,True,False,False
144,NC_018354,"Naupactus xanthographus mitochondrion, complete genome",Insecta,15026,False,False,True,False,False
145,NC_020755,"Nannospalax judaei isolate ANZA mitochondrion, complete genome",Mammalia,16406,False,False,True,False,False
146,NC_038174,"Anomalurus pusillus mitochondrion, complete genome",Mammalia,16773,False,False,True,False,False
147,NC_053957,"Galidictis fasciata mitochondrion, complete genome",Mammalia,16632,False,False,True,False,False
148,NC_024649,"Lobocla bifasciatus voucher LB1234 mitochondrion, complete genome",Insecta,15366,False,False,True,False,False
149,NC_038138,"Pariaconus pele mitochondrion, complete genome",Insecta,15080,False,False,True,False,False
150,NC_024412,"Parantica sita isolate N1822 mitochondrion, complete genome",Insecta,15211,False,False,True,False,False
151,NC_050197,"Vespa mandarinia isolate Nanaimo mitochondrion, complete genome",Insecta,20831,False,True,True,False,False
152,NC_040973,"Patania inferior mitochondrion, complete genome",Insecta,15348,False,False,True,False,False
153,NC_044134,"Dicyrtomina saundersi mitochondrion, complete genome",Collembola,15045,False,False,True,False,False
154,NC_060344,"Prodiamesa olivacea mitochondrion, complete sequence",Insecta,16190,False,False,True,False,False
155,OU632726,"Anopheles atroparvus strain Infravec2 EBRE genome assembly, organelle: mitochondrion",Insecta,15487,False,False,False,False,False
156,NC_059770,"Trictenotoma davidi mitochondrion, complete genome",Insecta,15910,False,False,True,False,False
157,NC_011197,"Atelura formicaria mitochondrion, complete genome",Insecta,15205,False,False,True,False,False
158,NC_028213,"Anopheles atroparvus voucher AATROP20150811V3 mitochondrion, complete genome",Insecta,15458,False,False,True,False,False
159,NC_050914,"Lethe titania mitochondrion, complete genome",Insecta,15257,False,False,True,False,False
160,NC_057979,"Corythoxestis sunosei mitochondrion, complete genome",Insecta,15511,False,False,True,False,False
161,NC_039946,"Apostictopterus fuliginosus mitochondrion, complete genome",Insecta,15417,False,False,True,False,False
162,NC_027253,"Colias erate mitochondrion, complete genome",Insecta,15184,False,False,True,False,False
163,NC_039962,"Arcyptera meridionalis mitochondrion, complete genome",Insecta,15776,False,False,True,False,False
164,NC_037610,"Cryptopygus terranovus mitochondrion, complete genome",Collembola,15352,False,False,True,False,False
165,NC_046926,"Pteropus ornatus isolate T275 mitochondrion, complete genome",Mammalia,16718,False,False,True,False,False
166,NC_037791,"Anopheles braziliensis clone AP21_39_4 mitochondrion, complete genome",Insecta,15397,False,False,True,False,False
167,NC_040161,"Hydrodamalis gigas mitochondrion, complete genome",Mammalia,16872,False,False,True,False,False
168,FR997824,"Clostera curtula genome assembly, organelle: mitochondrion",Insecta,15369,False,False,False,False,False
169,NC_057550,"Porhydrus obliquesignatus voucher IBE<ESP> RA147 mitochondrion, complete genome",Insecta,17865,False,False,True,False,False
170,NC_041639,"Ectophylla alba mitochondrion, complete genome",Mammalia,16656,False,False,True,False,False
171,NC_023444,"Neochauliodes bowringi mitochondrion, complete genome",Insecta,16064,False,False,True,False,False
172,CM014284,"Anopheles coluzzii isolate Ngousso colony mitochondrion, complete sequence, whole genome shotgun sequence",Insecta,15365,False,True,True,True,False
173,NC_054316,"Culex fergusoni isolate MI556 mitochondrion, complete genome",Insecta,15653,False,False,True,False,False
174,NC_020740,"Pudu puda isolate M92144 mitochondrion, complete genome",Mammalia,16347,False,False,True,False,False
175,NC_023541,"Sus cebifrons mitochondrion, complete genome",Mammalia,16473,False,False,True,False,False
176,NC_023232,"Epiophlebia superstes mitochondrion, complete genome",Insecta,15435,False,False,True,False,False
177,NC_029192,"Epicauta chinensis mitochondrion, complete genome",Insecta,15717,False,False,True,False,False
178,NC_046485,"Hydrictis maculicollis mitochondrion, complete genome",Mammalia,16308,False,False,True,False,False
179,NC_027956,"Canis anthus isolate Can3 mitochondrion, complete genome",Mammalia,16721,False,False,True,False,False
180,NC_056262,"Anopheles parensis mitochondrion, complete genome",Insecta,15355,False,False,True,False,False
181,NC_028313,"Lynx canadensis isolate LCA mitochondrion, complete genome",Mammalia,16666,False,False,True,False,False
182,NC_034052,"Tuberculitermes bycanistes mitochondrion, complete genome",Insecta,14950,False,False,True,False,False
183,CM014077,"Odocoileus hemionus hemionus isolate MD92 mitochondrion, complete sequence, whole genome shotgun sequence",Mammalia,16477,False,True,True,True,False
184,NC_034661,"Capnia zijinshana mitochondrion, complete genome",Insecta,16310,False,False,True,False,False
185,NC_036273,"Silvanus bidentatus voucher BMNH 833384 mitochondrion, complete genome",Insecta,17220,False,False,True,False,False
186,NC_031330,"Uropsilus gracilis voucher Nanchuan0403 mitochondrion, complete genome",Mammalia,16536,False,False,True,False,False
187,NC_042807,"Molipteryx lunata mitochondrion, complete genome",Insecta,16660,False,False,True,False,False
188,NC_053682,"Sarcophaga minor voucher CSU19111937 mitochondrion, complete genome",Insecta,14939,False,False,True,False,False
189,NC_040919,"Rattus nitidus mitochondrion, complete genome",Mammalia,16297,False,False,True,False,False
190,NC_050385,"Spilosoma lubricipeda mitochondrion, complete genome",Insecta,15375,False,False,True,False,False
191,NC_025760,"Ctenoplusia limbirena mitochondrion, complete genome",Insecta,15306,False,False,True,False,False
192,NC_030020,"Coptotermes sjoestedti isolate BDIT27 mitochondrion, complete genome",Insecta,14897,False,False,True,False,False
193,CM028128,"Anopheles parensis isolate F777 mitochondrion, whole genome shotgun sequence",Insecta,15409,False,True,False,True,False
194,NC_029408,"Compsorhipis davidiana mitochondrion, complete genome",Insecta,16085,False,False,True,False,False
195,NC_011119,"Locusta migratoria migratoria mitochondrion, complete genome",Insecta,16053,False,False,True,False,False
196,NC_029162,"Gynaephora aureata mitochondrion, complete genome",Insecta,15773,False,False,True,False,False
197,NC_034740,"Clostera anachoreta mitochondrion, complete genome",Insecta,15456,False,False,True,False,False
198,CM027631,"Tachyglossus aculeatus isolate mTacAcu1 mitochondrion, complete sequence, whole genome shotgun sequence",Mammalia,16381,False,True,True,True,False
199,NC_062140,"Zeugodacus strigifinis isolate Zst503 mitochondrion, complete genome",Insecta,15858,False,False,True,False,False
200,NC_027071,"Antheraea frithi voucher IBSDIRWSA1 mitochondrion, complete genome",Insecta,15338,False,False,True,False,False
201,NC_019633,"Chrysomya megacephala mitochondrion, complete genome",Insecta,15273,False,False,True,False,False
202,NC_042677,"Micromus angulatus mitochondrion, complete genome",Insecta,16153,False,False,True,False,False
203,NC_033989,"Diestrammena asynamora mitochondrion, complete genome",Insecta,15309,False,False,True,False,False
204,NC_009809,"Culicoides arakawae mitochondrion, complete genome",Insecta,18135,False,False,True,False,False
205,NC_048496,"Paulhutchinsonia pilosicollis voucher 25-067081 mitochondrion, complete genome",Insecta,15846,False,False,True,False,False
206,NC_005280,"Phocoena phocoena mitochondrion, complete genome",Mammalia,16382,False,False,True,False,False
207,NC_060428,"Lissorhoptrus oryzophilus mitochondrion, complete sequence",Insecta,18510,False,False,True,False,False
208,NC_060691,"Halobates maculatus mitochondrion, complete genome",Insecta,15293,False,False,True,False,False
209,NC_056990,"Sclomina erinacea mitochondrion, complete genome",Insecta,15828,False,False,True,False,False
210,NC_037368,"Melophagus ovinus mitochondrion, complete genome",Insecta,15573,False,False,True,False,False
211,NC_005277,"Pontoporia blainvillei mitochondrion, complete genome",Mammalia,16593,False,False,True,False,False
212,NC_061981,"Rhinolophus siamensis voucher 48 mitochondrion, complete genome",Mammalia,16846,False,False,True,False,False
213,NC_057438,"Bubalus arnee isolate Assam mitochondrion, complete genome",Mammalia,16357,False,False,True,False,False
214,NC_007009,"Chlorocebus aethiops mitochondrion, complete genome",Mammalia,16389,False,False,True,False,False
215,NC_020656,"Ovis ammon isolate h77 mitochondrion, complete genome",Mammalia,16613,False,False,True,False,False
216,NC_008756,"Cydistomyia duplonotata mitochondrion, complete genome",Insecta,16247,False,False,True,False,False
217,NC_054278,"Dorcus koreanus mitochondrion, complete genome",Insecta,17787,False,False,True,False,False
218,NC_039921,"Peromyscus maniculatus bairdii strain BW stock mitochondrion, complete genome",Mammalia,16322,False,False,True,False,False
219,NC_006523,"Phascogale tapoatafa mitochondrion, complete genome",Mammalia,17405,False,False,True,False,False
220,NC_018370,"Frankliniella occidentalis mitochondrion, complete genome",Insecta,14889,False,False,True,False,False
221,NC_050910,"Lethe nigrifascia mitochondrion, complete genome",Insecta,15239,False,False,True,False,False
222,NC_053636,"Pnyxia scabiei mitochondrion, complete genome",Insecta,15437,False,False,True,False,False
223,CM038122,"Bos taurus isolate LICNZHF1 breed Holstein-Friesian mitochondrion, complete sequence, whole genome shotgun sequence",Mammalia,16338,False,True,True,True,False
224,NC_056167,"Crocidura dongyangjiangensis mitochondrion, complete genome",Mammalia,16883,False,False,True,False,False
225,NC_057491,"Epeorus carinatus mitochondrion, complete genome",Insecta,15338,False,False,True,False,False
226,NC_028312,"Prionailurus planiceps isolate IPL mitochondrion, complete genome",Mammalia,16709,False,False,True,False,False
227,CM010540,"Drosophila melanogaster strain A1 breed Canton-S mitochondrion, complete sequence, whole genome shotgun sequence",Insecta,19061,False,True,True,True,False
228,NC_030602,"Achalarus lyciades mitochondrion, complete genome",Insecta,15612,False,False,True,False,False
229,NC_053803,"Mylomys dybowskii voucher MNHN-ZM-MO-1999-10 mitochondrion, complete genome",Mammalia,16253,False,False,True,False,False
230,NC_058008,"Thrips hawaiiensis mitochondrion, complete genome",Insecta,15357,False,False,True,False,False
231,OU906976,"Synanthedon vespiformis genome assembly, organelle: mitochondrion",Insecta,17252,False,False,False,False,False
232,NC_020743,"Rucervus duvaucelii isolate CYTO mitochondrion, complete genome",Mammalia,16342,False,False,True,False,False
233,NC_037787,"Anopheles benarrochi clone AC15_109 mitochondrion, complete genome",Insecta,15387,False,False,True,False,False
234,NC_020616,"Pseudoryx nghetinhensis mitochondrion, complete genome",Mammalia,16358,False,False,True,False,False
235,NC_061692,"Pieris napi napi mitochondrion, complete genome",Insecta,15179,False,False,True,False,False
236,NC_061563,"Simplicia rectalis mitochondrion, complete genome",Insecta,15546,False,False,True,False,False
237,NC_051869,"Diaphanes citrinus mitochondrion, complete genome",Insecta,18594,False,False,True,False,False
238,NC_053811,"Otomys typus voucher USB_ETH1342 mitochondrion, complete genome",Mammalia,16259,False,False,True,False,False
239,OW203684,"Apeira syringaria genome assembly, organelle: mitochondrion",Insecta,15489,False,False,False,False,False
240,NC_039410,"Nannophya pygmaea mitochondrion, complete genome",Insecta,15112,False,False,True,False,False
241,NC_062184,"Pseudoips prasinana mitochondrion, complete genome",Insecta,15239,False,False,True,False,False
242,NC_012841,"Aquarius paludum mitochondrion, complete genome",Insecta,15380,False,False,True,False,False
243,NC_046921,"Myonycteris relicta voucher FMNH-151404 mitochondrion, complete genome",Mammalia,16715,False,False,True,False,False
244,NC_056282,"Platycheirus albimanus mitochondrion, complete genome",Insecta,16648,False,False,True,False,False
245,NC_008141,"Adoxophyes honmai mitochondrion, complete genome",Insecta,15680,False,False,True,False,False
246,NC_061705,"Mamestra brassicae mitochondrion, complete genome",Insecta,15342,False,False,True,False,False
247,NC_051489,"Rhombodera longa mitochondrion, complete genome",Insecta,15886,False,False,True,False,False
248,NC_024569,"Prionodon pardicolor isolate TC108 mitochondrion, complete genome",Mammalia,16718,False,False,True,False,False
249,NC_046713,"Adhemarius dentoni voucher NHMUK010928123 mitochondrion, complete genome",Insecta,15423,False,False,True,False,False
250,NC_046768,"Dolichosciara megumiae mitochondrion, complete genome",Insecta,15931,False,False,True,False,False
251,NC_027742,"Fukomys damarensis mitochondrion, complete genome",Mammalia,16372,False,False,True,False,False
252,NC_028629,"Paraplea frontalis mitochondrion, complete genome",Insecta,14143,False,False,True,False,False
253,NC_037839,"Dendrothrips minowai mitochondrion, complete genome",Insecta,14631,False,False,True,False,False
254,NC_034038,"Amitermes capito mitochondrion, complete genome",Insecta,14950,False,False,True,False,False
255,NC_053798,"Grammomys selousi voucher USB_T8x399 mitochondrion, complete genome",Mammalia,16314,False,False,True,False,False
256,NC_014456,"Lynx rufus mitochondrion, complete genome",Mammalia,17056,False,False,True,False,False
257,NC_058292,"Lispe assimilis isolate L01410 mitochondrion, complete genome",Insecta,15385,False,False,True,False,False
258,NC_042500,"Gonioctena intermedia mitochondrion, complete genome",Insecta,18293,False,False,True,False,False
259,NC_027825,"Alouatta seniculus mitochondrion, complete genome",Mammalia,16557,False,False,True,False,False
260,NC_058310,"Hemipenthes hebeiensis mitochondrion, complete genome",Insecta,15430,False,False,True,False,False
261,NC_026668,"Phormia regina mitochondrion, complete genome",Insecta,15513,False,False,True,False,False
262,NC_024641,"Lygus hesperus mitochondrion, complete genome",Insecta,17747,False,False,True,False,False
263,NC_040138,"Neodon fuscus mitochondrion, complete genome",Mammalia,16328,False,False,True,False,False
264,NC_052865,"Aphis aurantii mitochondrion, complete genome",Insecta,15296,False,False,True,False,False
